profileID;respID;qID;altID;obsID;price;origin_Brazil Central Plateau;origin_Colombia Cauca;processing_Natural;processing_Washed;Specialty_Coffee_SCA Score: 80;Specialty_Coffee_SCA Score: 90;no_choice
15;8;12;1;124;11;0;1;0;1;0;1;0
5;8;12;2;124;11;1;0;0;1;1;0;0
11;8;12;3;124;11;0;1;1;0;0;1;0
0;8;12;4;124;0;0;0;0;0;0;0;1
14;8;13;1;125;30;1;0;0;1;0;1;0
13;8;13;2;125;11;1;0;0;1;0;1;0
3;8;13;3;125;11;0;1;1;0;1;0;0
0;8;13;4;125;0;0;0;0;0;0;0;1
3;8;14;1;126;11;0;1;1;0;1;0;0
8;8;14;2;126;30;0;1;0;1;1;0;0
1;8;14;3;126;11;1;0;1;0;1;0;0
0;8;14;4;126;0;0;0;0;0;0;0;1
1;8;15;1;127;11;1;0;1;0;1;0;0
15;8;15;2;127;11;0;1;0;1;0;1;0
4;8;15;3;127;30;0;1;1;0;1;0;0
0;8;15;4;127;0;0;0;0;0;0;0;1
5;8;16;1;128;11;1;0;0;1;1;0;0
11;8;16;2;128;11;0;1;1;0;0;1;0
